question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key	
Q027	alt 속성		Frontend - HTML/CSS	11	CHOICE	EASY	이미지 대체 텍스트를 설정하는 속성은?	alt는 이미지가 로드되지 않거나 스크린 리더가 읽을 때 대신 제공되는 텍스트입니다. 접근성 면접 질문에서 매우 자주 등장하는 포인트입니다. 의미 있는 이미지는 핵심 내용을 간결하게 alt로 제공하는 것이 좋습니다. 장식용 이미지는 빈 alt를 두어 읽지 않게 하는 전략도 있습니다. 실무에서 alt를 파일명처럼 쓰는 실수는 흔한 감점 요인이므로 주의해야 합니다.		alt	TRUE	src	FALSE	class	FALSE	style	FALSE	frontend	html	a11y	image	
Q028	리스트(ul)		Frontend - HTML/CSS	11	CHOICE	EASY	순서가 없는 목록을 만들 때 사용하는 태그는?	ul은 unordered list로 순서가 중요하지 않은 목록에 사용합니다. ol은 ordered list로 순서가 중요한 목록에 사용합니다. 목록의 각 항목은 li 태그로 표현합니다. 면접에서는 ul과 ol 차이를 물어보며 HTML 의미를 보는 경우가 많습니다. 실무에서는 메뉴, 태그 목록, 기능 리스트 등 다양한 UI에 자주 쓰입니다.		ul	TRUE	ol	FALSE	li	FALSE	dl	FALSE	frontend	html	list		
Q029	폼(form)		Frontend - HTML/CSS	11	CHOICE	EASY	사용자 입력을 서버로 전송할 때 주로 사용하는 태그는?	form은 입력 요소들을 묶어 서버로 전송하는 역할을 합니다. action은 전송할 URL을 의미하고 method는 GET 또는 POST 같은 방식을 의미합니다. 면접에서는 GET과 POST의 차이를 간단히 묻는 경우가 많습니다. 실무에서는 입력 검증과 접근성(label 연결)을 함께 고려해야 합니다. form 구조를 제대로 잡으면 오류 처리와 사용자 경험이 좋아집니다.		form	TRUE	div	FALSE	section	FALSE	span	FALSE	frontend	html	form		
Q030	input type		Frontend - HTML/CSS	11	CHOICE	EASY	비밀번호 입력에 적절한 input type은?	input은 type에 따라 입력 방식과 표시가 달라집니다. password 타입은 입력값을 마스킹해 화면에 그대로 보이지 않게 합니다. 면접에서는 type 종류를 알고 있는지 기본을 확인합니다. 실무에서는 보안상 마스킹이 되더라도 전송과 저장은 별도 보안 처리가 필요합니다. 또한 autocomplete 설정 등 UX 개선도 함께 고려할 수 있습니다.		text	FALSE	password	TRUE	email	FALSE	number	FALSE	frontend	html	form		
Q031	CSS 적용 방식		Frontend - HTML/CSS	11	CHOICE	EASY	외부 CSS 파일을 연결할 때 사용하는 태그는?	외부 스타일시트는 link 태그로 연결합니다. rel stylesheet와 href로 파일 경로를 지정합니다. style 태그는 HTML 내부에 CSS를 작성할 때 씁니다. 면접에서는 link와 style 차이를 구분할 수 있는지 봅니다. 실무에서는 캐싱과 번들링 전략에 따라 외부 CSS 관리가 중요해집니다.		script	FALSE	link	TRUE	meta	FALSE	a	FALSE	frontend	html	css		
Q032	클래스 선택자		Frontend - HTML/CSS	11	CHOICE	EASY	CSS에서 클래스 선택자를 올바르게 작성한 것은?	클래스 선택자는 점을 사용해 .className 형태로 작성합니다. id 선택자는 #idName으로 작성합니다. 태그 선택자는 div처럼 태그명을 직접 씁니다. 면접에서는 선택자 문법을 통해 CSS 기본기를 확인합니다. 실무에서는 클래스 네이밍 규칙을 정해두면 유지보수가 크게 좋아집니다.		#box	FALSE	.box	TRUE	box	FALSE	@box	FALSE	frontend	css	selector		
Q033	id 선택자		Frontend - HTML/CSS	11	CHOICE	EASY	id가 main인 요소를 선택하는 CSS는?	id 선택자는 #을 사용합니다. id는 문서에서 고유해야 한다는 규칙이 일반적입니다. 면접에서는 class와 id의 차이를 함께 질문하는 경우가 많습니다. 실무에서는 재사용성을 위해 클래스가 더 많이 쓰이지만, 특정 앵커 이동 등에서 id가 유용합니다. 또한 id 선택자는 우선순위가 강해 스타일 충돌에 주의해야 합니다.		.main	FALSE	#main	TRUE	main	FALSE	*main	FALSE	frontend	css	selector		
Q034	색상 속성(color)		Frontend - HTML/CSS	11	CHOICE	EASY	글자 색상을 변경하는 CSS 속성은?	color 속성은 텍스트 색상을 지정합니다. background-color는 배경색을 지정합니다. 면접에서는 기본 속성을 빠르게 체크하는 문제가 나올 수 있습니다. 실무에서는 디자인 시스템 토큰과 함께 색상을 관리하면 일관성이 좋아집니다. 대비(contrast)를 고려해 접근성 기준을 만족시키는 것도 중요합니다.		color	TRUE	font-size	FALSE	border	FALSE	margin	FALSE	frontend	css	typography	a11y	
Q035	배경색(background-color)		Frontend - HTML/CSS	11	CHOICE	EASY	요소의 배경색을 지정하는 속성은?	background-color는 요소의 배경색을 설정합니다. color는 글자색이라 혼동하기 쉽습니다. 면접에서는 기본 속성 명칭을 정확히 아는지 봅니다. 실무에서는 배경색과 텍스트색 조합이 읽기 쉬운지 확인해야 합니다. 다크모드 같은 테마에서는 배경 토큰을 잘 설계하는 것이 중요합니다.		color	FALSE	background-color	TRUE	border-color	FALSE	opacity	FALSE	frontend	css	color		
Q036	박스 모델		Frontend - HTML/CSS	11	CHOICE	EASY	요소의 바깥 여백을 의미하는 CSS 속성은?	margin은 요소 바깥쪽 여백을 의미합니다. padding은 요소 안쪽 여백으로 콘텐츠와 테두리 사이 공간을 만듭니다. 면접에서는 margin과 padding 차이를 매우 자주 확인합니다. 실무에서는 레이아웃 간격을 조절할 때 margin을 쓰고 클릭 영역을 늘릴 때 padding을 쓰는 경우가 많습니다. 기본을 정확히 아는 것이 UI 디버깅 속도를 크게 올립니다.		padding	FALSE	margin	TRUE	border	FALSE	width	FALSE	frontend	css	boxmodel	layout	
Q037	display 기본		Frontend - HTML/CSS	11	CHOICE	EASY	요소를 가로로 나열하면서도 width를 지정하고 싶을 때 적절한 display는?	inline은 가로 배치되지만 width height 지정이 제한될 수 있습니다. block은 width 지정이 가능하지만 줄바꿈이 발생합니다. inline-block은 가로 배치가 가능하면서 width height 지정도 가능합니다. 면접에서는 display 차이를 통해 레이아웃 기본기를 확인합니다. 실무에서는 배지, 버튼, 카드 같은 요소에 inline-block이 유용할 때가 많습니다.		inline	FALSE	block	FALSE	inline-block	TRUE	none	FALSE	frontend	css	display	layout	
Q038	position		Frontend - HTML/CSS	11	CHOICE	EASY	position의 기본값으로 올바른 것은?	position 기본값은 static입니다. static은 top left 같은 위치 속성이 일반적으로 적용되지 않습니다. 면접에서는 relative와 absolute를 이해하기 전 기본값을 알고 있는지 확인합니다. 실무에서는 absolute 기준을 잡으려고 부모에 relative를 주는 패턴이 흔합니다. 기본값을 모르면 위치 관련 버그를 디버깅하기 어려울 수 있습니다.		relative	FALSE	static	TRUE	absolute	FALSE	fixed	FALSE	frontend	css	position		
Q039	flex 선언		Frontend - HTML/CSS	11	CHOICE	EASY	flex 레이아웃을 시작하는 선언으로 올바른 것은?	flex는 요소를 유연하게 배치하는 레이아웃 시스템입니다. display flex를 주면 해당 요소가 flex 컨테이너가 됩니다. 면접에서는 flex의 기본 선언과 정렬 속성까지 이어질 수 있습니다. 실무에서는 수평 정렬, 중앙 정렬, 카드 정렬 등에서 flex를 자주 사용합니다. 기본 선언을 정확히 알고 있으면 레이아웃 구현 속도가 빨라집니다.		flex display	FALSE	display flex	TRUE	position flex	FALSE	align flex	FALSE	frontend	css	flex	layout	
Q040	미디어 쿼리		Frontend - HTML/CSS	11	CHOICE	EASY	화면 크기에 따라 스타일을 다르게 적용하는 문법은?	반응형 웹은 다양한 화면 크기에 맞춰 레이아웃이 변해야 합니다. CSS에서는 media query로 조건부 스타일을 적용할 수 있습니다. @media를 사용해 max-width 또는 min-width 조건을 걸 수 있습니다. 면접에서는 반응형 기본기와 함께 자주 등장합니다. 실무에서는 브레이크포인트를 팀 규칙으로 정해두면 유지보수가 쉬워집니다.		@media	TRUE	@keyframes	FALSE	@font-face	FALSE	@import	FALSE	frontend	css	responsive		
Q041	제목 태그(Heading)		Frontend - HTML/CSS	11	CHOICE	EASY	가장 중요한(가장 큰) 제목을 나타내는 태그는?	h1은 문서에서 가장 중요한 제목을 의미합니다. 제목은 크기보다 의미가 핵심이며, 검색 엔진과 스크린 리더가 문서 구조를 이해하는 데 도움을 줍니다. 면접에서는 h1을 여러 개 써도 되는지 같은 확장 질문이 나올 수 있습니다. 실무에서는 페이지의 대표 제목을 h1로 두고 섹션 구조를 h2, h3로 내려가는 방식이 일반적입니다. 단순히 글자 크기 조절은 CSS로 하고 의미는 제목 태그로 표현하는 습관이 중요합니다.		h6	FALSE	h1	TRUE	title	FALSE	p	FALSE	frontend	html	semantic		
Q042	단락 태그(Paragraph)		Frontend - HTML/CSS	11	CHOICE	EASY	문단(단락)을 표현하는 태그는?	p 태그는 문단을 의미하며 텍스트 덩어리를 구분할 때 사용합니다. br은 줄바꿈이지만 문단 의미를 만들지는 않습니다. 면접에서는 p와 div의 차이처럼 의미 중심의 질문이 나올 수 있습니다. 실무에서는 텍스트를 단순 div로 감싸기보다 p로 표현하면 문서 구조가 더 명확해집니다. 또한 기본 마진이 적용되므로 스타일 초기화 여부도 함께 고려하는 것이 좋습니다.		br	FALSE	p	TRUE	span	FALSE	strong	FALSE	frontend	html	text		
Q043	줄바꿈(br)		Frontend - HTML/CSS	11	CHOICE	EASY	HTML에서 줄바꿈을 만드는 태그는?	br 태그는 강제 줄바꿈을 삽입합니다. 문단을 나누는 목적이면 p를 쓰는 것이 더 의미에 맞습니다. 면접에서는 br을 남발하는 습관을 지적하며 시맨틱 관점으로 설명하길 기대할 수 있습니다. 실무에서는 주소, 짧은 라인 구분 등 제한적 상황에서만 br을 사용합니다. 레이아웃 줄바꿈은 CSS로 처리하는 것이 보통 더 유지보수에 좋습니다.		hr	FALSE	br	TRUE	p	FALSE	div	FALSE	frontend	html	text		
Q044	강조 태그(strong)		Frontend - HTML/CSS	11	CHOICE	EASY	중요한 의미의 강조를 나타내는 태그는?	strong은 단순히 굵게 보이게 하는 것이 아니라 중요함을 의미합니다. b도 굵게 보이지만 의미는 상대적으로 약합니다. 면접에서는 strong과 b의 차이를 물어보며 시맨틱 이해도를 확인합니다. 실무에서는 경고 문구나 핵심 키워드를 강조할 때 strong을 쓰면 접근성에도 도움이 됩니다. 스타일은 CSS로 바꿀 수 있지만 의미는 태그 선택으로 표현하는 게 좋습니다.		b	FALSE	strong	TRUE	i	FALSE	em	FALSE	frontend	html	semantic	a11y	
Q045	기울임(em)		Frontend - HTML/CSS	11	CHOICE	EASY	문맥적 강조(강세)를 의미하는 태그는?	em은 문장에서 특정 단어를 강조하는 의미를 가집니다. i는 시각적으로 기울임이지만 의미는 약할 수 있습니다. 면접에서는 em과 i의 차이를 통해 시맨틱 태그 사용을 확인합니다. 실무에서는 강조를 의미로 표현하면 스크린 리더가 억양으로 반영할 수 있어 접근성에 도움이 됩니다. 따라서 단순 스타일링이 아니라 의미를 우선하는 습관이 중요합니다.		i	FALSE	em	TRUE	u	FALSE	small	FALSE	frontend	html	semantic		
Q046	구분선(hr)		Frontend - HTML/CSS	11	CHOICE	EASY	주제나 내용 구분을 위한 수평 구분선을 만드는 태그는?	hr은 문서의 흐름에서 주제 전환이나 구분을 나타냅니다. 단순 장식이 아니라 내용 구분 의미가 있다는 점이 포인트입니다. 면접에서는 hr을 레이아웃용으로 남발하지 말라는 관점으로 이어질 수 있습니다. 실무에서는 섹션 구분이 필요할 때 쓰되, 디자인 구분선은 CSS로 처리하기도 합니다. 의미와 디자인을 분리해서 생각하면 더 안정적인 마크업이 됩니다.		br	FALSE	hr	TRUE	line	FALSE	border	FALSE	frontend	html	semantic		
